Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,37054,1312,25960,9782,0,3.54,70.06,5.05,38928341,952.0,37856,273,0.72
Albania,6411,199,3342,2870,136,3.1,52.13,5.95,2877800,2228.0,7967,1116,14.01
Algeria,35160,1302,24506,9352,467,3.7,69.7,5.31,43851043,802.0,40258,2758,6.85
Andorra,955,52,839,64,0,5.45,87.85,6.2,77265,12360.0,1024,74,7.23
Angola,1672,75,567,1030,100,4.49,33.91,13.23,32866268,51.0,2044,371,18.15
Antigua and Barbuda,92,3,76,13,0,3.26,82.61,3.95,97928,939.0,94,0,0.0
Argentina,246499,4606,108242,133651,4688,1.87,43.91,4.26,45195777,5454.0,320884,59408,18.51
Armenia,40410,791,32520,7099,225,1.96,80.48,2.43,2963234,13637.0,42319,951,2.25
Australia,21397,313,11876,9208,313,1.46,55.5,2.64,50919400,420.0,24407,1041,4.27
Austria,22033,721,19923,1389,114,3.27,90.42,3.62,9006400,2446.0,24431,1930,7.9
Azerbaijan,33568,490,30364,2714,87,1.46,90.46,1.61,10139175,3311.0,34759,1085,3.12
Bahamas,898,15,104,779,20,1.67,11.58,14.42,393248,2284.0,1610,155,9.63
Bahrain,44011,162,40967,2882,382,0.37,93.08,0.4,1701583,25865.0,48303,2453,5.08
Bangladesh,257600,3399,148370,105831,2487,1.32,57.6,2.29,164689383,1564.0,287959,16624,5.77
Barbados,142,7,112,23,4,4.93,78.87,6.25,287371,494.0,156,9,5.77
Belarus,68850,587,64935,3328,112,0.85,94.31,0.9,9449321,7286.0,69950,1215,1.74
Belgium,74152,9872,17780,46500,751,13.31,23.98,55.52,11589616,6398.0,80178,3322,4.14
Belize,153,2,32,119,7,1.31,20.92,6.25,397621,385.0,605,213,35.21
Benin,1936,38,1600,298,0,1.96,82.64,2.38,12123198,160.0,2095,50,2.39
Bhutan,110,0,96,14,2,0.0,87.27,0.0,771612,143.0,153,31,20.26
Bolivia,89999,3640,29808,56551,944,4.04,33.12,12.21,11673029,7710.0,106065,7064,6.66
Bosnia and Herzegovina,13687,394,7373,5920,0,2.88,53.87,5.34,3280815,4172.0,17029,1891,11.1
Botswana,804,2,63,739,0,0.25,7.84,3.17,2351625,342.0,1308,254,19.42
Brazil,3035422,101049,2356983,577390,23010,3.33,77.65,4.29,422706534,7181.0,3501975,259416,7.41
Brunei,142,3,138,1,0,2.11,97.18,2.17,437483,325.0,143,1,0.7
Bulgaria,13396,447,7772,5177,53,3.34,58.02,5.75,6948445,1928.0,14962,946,6.32
Burkina Faso,1175,54,974,147,0,4.6,82.89,5.54,20903278,56.0,1297,55,4.24
Burma,360,6,312,42,1,1.67,86.67,1.92,54409800,7.0,399,203,50.88
Burundi,408,1,315,92,3,0.25,77.21,0.32,11890781,34.0,422,9,2.13
Cabo Verde,2858,32,2086,740,23,1.12,72.99,1.53,555988,5140.0,3368,331,9.83
Cambodia,251,0,219,32,3,0.0,87.25,0.0,16718971,15.0,273,0,0.0
Cameroon,18042,395,15320,2327,0,2.19,84.91,2.58,26545864,680.0,18762,380,2.03
Canada,121367,9028,105420,6919,219,7.44,86.86,8.56,75711404,1603.0,125625,3211,2.56
Central African Republic,4641,60,1721,2860,0,1.29,37.08,3.49,4829764,961.0,4679,19,0.41
Chad,944,76,839,29,2,8.05,88.88,9.06,16425859,57.0,972,32,3.29
Chile,373056,10077,345826,17153,2033,2.7,92.7,2.91,36692988,10167.0,391849,12253,3.13
China,88793,4686,82125,1982,121,5.28,92.49,5.71,-2147483648,-41.0,89567,247,0.28
